opponents, date, year, regularSeason?, score1-score2, location(A), pace1, tSP1, eFG1, 3PA1, FTR1, ORR1, DRR1, TRR1, ASP1, STLP1, BLK1, TOR1, OEff1, DEF, pace2, tSP2, eFG2, 3PA2, FTR2, ORR2, DRR2, TRR2, ASP2, STLP2, BLK2, TOR2, OEff2
%http://www.basketball-reference.com/boxscores/201810190MIN.html
Cleveland Cavaliers at Minnesota Timberwolves, October 19, 2018,regularSeason,123-131,A,103.4,0.5820,0.5270,0.2470,0.2688,29.5000,76.9000,51.8000,57.8000,4.8000,3.2000,11.7000,119.0000,MAN,103.4,0.6400,0.5630,0.2870,0.3793,23.1000,70.5000,48.2000,63.6000,8.7000,10.0000,11.3000,126.7000
%http://www.basketball-reference.com/boxscores/201810190NOP.html
Sacramento Kings at New Orleans Pelicans, October 19, 2018,regularSeason,129-149,A,111.3,0.6000,0.5730,0.2600,0.1979,18.4000,71.4000,42.9000,48.0000,5.4000,3.1000,10.8000,115.9000,MAN,111.3,0.6800,0.6740,0.3260,0.2211,28.6000,81.6000,57.1000,62.5000,5.4000,5.6000,12.7000,133.9000
%http://www.basketball-reference.com/boxscores/201810190ORL.html
Charlotte Hornets at Orlando Magic, October 19, 2018,regularSeason,120-88,A,100.9,0.5950,0.5600,0.4130,0.1848,27.3000,78.2000,55.6000,74.4000,5.9000,6.3000,13.0000,119.0000,MAN,100.9,0.4390,0.4150,0.3300,0.1064,21.8000,72.7000,44.4000,50.0000,7.9000,13.0000,13.0000,87.2000
%http://www.basketball-reference.com/boxscores/201810190TOR.html
Boston Celtics at Toronto Raptors, October 19, 2018,regularSeason,101-113,A,97.8,0.4880,0.4750,0.3640,0.0707,30.2000,73.3000,50.0000,72.5000,4.1000,10.5000,11.9000,103.3000,MAN,97.8,0.5630,0.5380,0.3800,0.1522,26.7000,69.8000,50.0000,55.8000,3.1000,4.8000,10.7000,115.6000
%http://www.basketball-reference.com/boxscores/201810190UTA.html
Golden State Warriors at Utah Jazz, October 19, 2018,regularSeason,124-123,A,103.1,0.6530,0.6210,0.2180,0.1839,22.2000,77.8000,53.1000,55.1000,9.7000,14.0000,14.4000,120.3000,MAN,103.1,0.6040,0.5560,0.5170,0.2697,22.2000,77.8000,46.9000,60.0000,10.7000,5.9000,13.6000,119.4000
%http://www.basketball-reference.com/boxscores/201810200CHI.html
Detroit Pistons at Chicago Bulls, October 20, 2018,regularSeason,118-116,A,99.9,0.5310,0.4950,0.3960,0.1782,33.3000,86.1000,54.4000,51.2000,4.0000,6.1000,7.5000,118.1000,MAN,99.9,0.5890,0.5460,0.2410,0.2414,13.9000,66.7000,45.6000,59.1000,4.0000,4.9000,10.1000,116.1000
%http://www.basketball-reference.com/boxscores/201810200DAL.html
Minnesota Timberwolves at Dallas Mavericks, October 20, 2018,regularSeason,136-140,A,109.0,0.6690,0.6070,0.3210,0.4048,18.2000,64.3000,44.0000,52.3000,9.2000,6.3000,14.3000,124.7000,MAN,109.0,0.6200,0.5870,0.5100,0.2551,35.7000,81.8000,56.0000,59.2000,7.3000,14.0000,12.4000,128.4000
%http://www.basketball-reference.com/boxscores/201810200DEN.html
Phoenix Suns at Denver Nuggets, October 20, 2018,regularSeason,91-119,A,102.4,0.4920,0.4480,0.5060,0.2857,18.2000,76.9000,42.6000,69.0000,5.9000,7.0000,17.1000,88.8000,MAN,102.4,0.6090,0.5590,0.3290,0.2824,23.1000,81.8000,57.4000,65.1000,11.7000,15.8000,15.5000,116.2000
%http://www.basketball-reference.com/boxscores/201810200IND.html
Brooklyn Nets at Indiana Pacers, October 20, 2018,regularSeason,112-132,A,101.9,0.5850,0.5700,0.4300,0.1628,23.1000,75.6000,50.0000,61.0000,5.9000,8.8000,17.3000,109.9000,MAN,101.9,0.6490,0.6410,0.2610,0.1522,24.4000,76.9000,50.0000,41.2000,11.8000,10.2000,9.0000,129.5000
%http://www.basketball-reference.com/boxscores/201810200LAL.html
Houston Rockets at Los Angeles Lakers, October 20, 2018,regularSeason,124-115,A,108.1,0.5680,0.5420,0.4380,0.2083,27.1000,82.0000,55.1000,50.0000,6.5000,5.9000,12.8000,114.8000,MAN,108.1,0.5330,0.5200,0.3200,0.1100,18.0000,72.9000,44.9000,58.3000,7.4000,18.5000,8.5000,106.4000
%http://www.basketball-reference.com/boxscores/201810200MIA.html
Charlotte Hornets at Miami Heat, October 20, 2018,regularSeason,113-112,A,99.5,0.5480,0.5270,0.4520,0.1613,24.5000,70.0000,44.9000,56.1000,6.0000,21.8000,9.6000,113.6000,MAN,99.5,0.5550,0.5220,0.3820,0.2135,30.0000,75.5000,55.1000,51.2000,4.0000,21.6000,12.9000,112.6000
%http://www.basketball-reference.com/boxscores/201810200NYK.html
Boston Celtics at New York Knicks, October 20, 2018,regularSeason,103-101,A,99.3,0.5340,0.4570,0.3050,0.3415,23.9000,76.6000,50.5000,63.6000,8.1000,3.8000,13.5000,103.7000,MAN,99.3,0.5110,0.4830,0.4020,0.1954,23.4000,76.1000,49.5000,63.9000,8.1000,1.8000,13.9000,101.7000
%http://www.basketball-reference.com/boxscores/201810200PHI.html
Orlando Magic at Philadelphia 76ers, October 20, 2018,regularSeason,115-116,A,95.5,0.5770,0.5440,0.3220,0.1889,29.8000,72.9000,51.6000,75.6000,7.3000,11.5000,12.3000,120.4000,MAN,95.5,0.5890,0.5690,0.3510,0.0957,27.1000,70.2000,48.4000,73.3000,8.4000,4.9000,9.2000,121.5000
%http://www.basketball-reference.com/boxscores/201810200POR.html
San Antonio Spurs at Portland Trail Blazers, October 20, 2018,regularSeason,108-121,A,93.8,0.5090,0.4850,0.3000,0.1100,28.3000,75.8000,46.5000,69.0000,5.3000,7.7000,5.3000,115.2000,MAN,93.8,0.6550,0.6250,0.3810,0.1905,24.2000,71.7000,53.5000,53.3000,5.3000,4.3000,11.5000,129.1000
%http://www.basketball-reference.com/boxscores/201810200WAS.html
Toronto Raptors at Washington Wizards, October 20, 2018,regularSeason,117-113,A,102.0,0.5630,0.5000,0.3300,0.3295,33.3000,80.9000,58.4000,53.8000,4.9000,10.0000,14.1000,114.7000,MAN,102.0,0.5480,0.4890,0.4380,0.2921,19.1000,66.7000,41.6000,54.1000,10.8000,15.3000,9.6000,110.7000
%http://www.basketball-reference.com/boxscores/201810210CLE.html
Atlanta Hawks at Cleveland Cavaliers, October 21, 2018,regularSeason,133-111,A,106.0,0.6250,0.6020,0.4800,0.1531,20.9000,70.0000,47.3000,66.7000,8.5000,9.7000,10.1000,125.5000,MAN,106.0,0.5280,0.5150,0.2730,0.0909,30.0000,79.1000,52.7000,50.0000,4.7000,3.9000,14.6000,104.7000
%http://www.basketball-reference.com/boxscores/201810210DEN.html
Golden State Warriors at Denver Nuggets, October 21, 2018,regularSeason,98-100,A,97.7,0.5470,0.5000,0.3670,0.2405,15.0000,72.3000,46.0000,61.1000,4.1000,11.1000,16.7000,100.3000,MAN,97.7,0.4790,0.4420,0.3720,0.2791,27.7000,85.0000,54.0000,60.0000,11.3000,8.0000,7.1000,102.4000
%http://www.basketball-reference.com/boxscores/201810210LAC.html
Houston Rockets at Los Angeles Clippers, October 21, 2018,regularSeason,112-115,A,98.9,0.5860,0.5670,0.3930,0.1236,14.0000,70.7000,41.7000,65.1000,6.1000,9.4000,11.2000,113.2000,MAN,98.9,0.5720,0.5000,0.2810,0.2921,29.3000,86.0000,58.3000,52.4000,8.1000,13.0000,11.5000,116.3000
%http://www.basketball-reference.com/boxscores/201810210OKC.html
Sacramento Kings at Oklahoma City Thunder, October 21, 2018,regularSeason,131-120,A,110.0,0.6340,0.6040,0.2420,0.2308,26.7000,65.4000,47.4000,56.0000,10.0000,10.8000,14.1000,119.1000,MAN,110.0,0.5120,0.4860,0.3750,0.1827,34.6000,73.3000,52.6000,50.0000,10.0000,13.0000,13.3000,109.1000
%http://www.basketball-reference.com/boxscores/201810220BOS.html
Orlando Magic at Boston Celtics, October 22, 2018,regularSeason,93-90,A,96.4,0.4770,0.4620,0.3760,0.0753,16.0000,82.0000,49.0000,73.7000,6.2000,3.9000,8.5000,96.5000,MAN,96.4,0.4740,0.4560,0.4400,0.0769,18.0000,84.0000,51.0000,56.8000,6.2000,5.2000,11.2000,93.4000
%http://www.basketball-reference.com/boxscores/201810220DAL.html
Chicago Bulls at Dallas Mavericks, October 22, 2018,regularSeason,109-115,A,98.5,0.6110,0.5940,0.2880,0.1750,20.0000,67.5000,45.3000,43.9000,6.1000,8.7000,17.6000,110.6000,MAN,98.5,0.5620,0.5110,0.5050,0.2151,32.5000,80.0000,54.7000,62.5000,8.1000,3.5000,12.8000,116.7000
%http://www.basketball-reference.com/boxscores/201810220GSW.html
Phoenix Suns at Golden State Warriors, October 22, 2018,regularSeason,103-123,A,102.6,0.5480,0.5060,0.3950,0.1860,26.7000,82.5000,52.9000,61.5000,7.8000,2.0000,18.3000,100.4000,MAN,102.6,0.6180,0.5910,0.4200,0.2159,17.5000,73.3000,47.1000,77.8000,11.7000,7.7000,12.3000,119.9000
%http://www.basketball-reference.com/boxscores/201810220LAL.html
San Antonio Spurs at Los Angeles Lakers, October 22, 2018,regularSeason,143-142,A,103.6,0.6290,0.5930,0.2890,0.2887,20.4000,74.0000,47.5000,64.0000,7.9000,4.4000,7.3000,125.0000,MAN,103.6,0.5990,0.5790,0.3640,0.1682,26.0000,79.6000,52.5000,60.0000,4.4000,8.7000,11.2000,124.1000
%http://www.basketball-reference.com/boxscores/201810220MIL.html
New York Knicks at Milwaukee Bucks, October 22, 2018,regularSeason,113-124,A,100.9,0.5350,0.5050,0.2930,0.1313,23.4000,62.7000,43.9000,48.9000,5.9000,3.6000,9.4000,112.0000,MAN,100.9,0.5820,0.5570,0.4170,0.1771,37.3000,76.6000,56.1000,60.0000,5.0000,12.9000,11.6000,122.9000
%http://www.basketball-reference.com/boxscores/201810220MIN.html
Indiana Pacers at Minnesota Timberwolves, October 22, 2018,regularSeason,91-101,A,99.3,0.4590,0.4350,0.2830,0.1196,23.5000,80.5000,48.9000,50.0000,6.0000,11.5000,13.2000,91.6000,MAN,99.3,0.5280,0.4650,0.3880,0.2588,19.5000,76.5000,51.1000,66.7000,9.1000,18.2000,13.6000,101.7000
%http://www.basketball-reference.com/boxscores/201810220POR.html
Washington Wizards at Portland Trail Blazers, October 22, 2018,regularSeason,125-124,A,107.4,0.5150,0.4860,0.3360,0.1636,18.5000,71.2000,43.5000,50.0000,5.1000,10.1000,7.6000,105.4000,MAN,107.4,0.5100,0.4490,0.3610,0.2500,28.8000,81.5000,56.5000,51.2000,5.1000,5.5000,13.5000,104.6000
%http://www.basketball-reference.com/boxscores/201810220TOR.html
Charlotte Hornets at Toronto Raptors, October 22, 2018,regularSeason,106-127,A,100.2,0.5050,0.4690,0.2890,0.1546,25.5000,84.4000,47.1000,51.2000,5.0000,10.4000,10.3000,105.8000,MAN,100.2,0.6820,0.6610,0.4480,0.1379,15.6000,74.5000,52.9000,72.0000,10.0000,11.6000,12.2000,126.8000
%http://www.basketball-reference.com/boxscores/201810220UTA.html
Memphis Grizzlies at Utah Jazz, October 22, 2018,regularSeason,92-84,A,94.9,0.4820,0.4230,0.3330,0.2500,14.9000,78.3000,46.2000,58.1000,10.5000,4.0000,9.5000,96.9000,MAN,94.9,0.4560,0.4020,0.3900,0.2195,21.7000,85.1000,53.8000,62.1000,6.3000,10.7000,14.0000,88.5000
%http://www.basketball-reference.com/boxscores/201810230DEN.html
Sacramento Kings at Denver Nuggets, October 23, 2018,regularSeason,112-126,A,100.3,0.5910,0.5990,0.3600,0.1047,20.9000,66.7000,44.3000,64.4000,7.0000,8.7000,14.4000,111.6000,MAN,100.3,0.5970,0.5710,0.3030,0.1313,33.3000,79.1000,55.7000,60.8000,11.0000,5.5000,10.2000,125.6000
%http://www.basketball-reference.com/boxscores/201810230DET.html
Philadelphia 76ers at Detroit Pistons, October 23, 2018,regularSeason,132-133,A,101.0,0.5980,0.5710,0.4390,0.2041,19.0000,76.9000,51.1000,65.3000,2.7000,10.7000,9.1000,118.4000,MAN,101.0,0.5550,0.5280,0.3060,0.1759,23.1000,81.0000,48.9000,43.1000,3.6000,7.3000,6.3000,119.3000
%http://www.basketball-reference.com/boxscores/201810230NOP.html
Los Angeles Clippers at New Orleans Pelicans, October 23, 2018,regularSeason,109-116,A,103.7,0.5510,0.5000,0.2300,0.2529,20.0000,76.0000,49.5000,43.9000,4.8000,5.8000,13.9000,105.1000,MAN,103.7,0.5240,0.4620,0.2580,0.3226,24.0000,80.0000,50.5000,55.0000,11.6000,11.9000,6.7000,111.9000
%http://www.basketball-reference.com/boxscores/201810240ATL.html
Dallas Mavericks at Atlanta Hawks, October 24, 2018,regularSeason,104-111,A,108.1,0.5080,0.4840,0.4400,0.1758,17.0000,81.1000,49.1000,65.8000,6.5000,17.0000,14.2000,96.2000,MAN,108.1,0.5300,0.4890,0.4180,0.2418,18.9000,83.0000,50.9000,75.7000,5.5000,11.8000,12.5000,102.7000
%http://www.basketball-reference.com/boxscores/201810240CHI.html
Charlotte Hornets at Chicago Bulls, October 24, 2018,regularSeason,110-112,A,93.9,0.5630,0.4940,0.4120,0.3059,18.2000,75.7000,44.4000,62.2000,5.3000,10.4000,5.8000,117.1000,MAN,93.9,0.6060,0.5450,0.3770,0.3636,24.3000,81.8000,55.6000,56.8000,4.3000,10.0000,13.2000,119.2000
%http://www.basketball-reference.com/boxscores/201810240CLE.html
Brooklyn Nets at Cleveland Cavaliers, October 24, 2018,regularSeason,102-86,A,95.0,0.5450,0.5170,0.3910,0.1379,17.8000,69.2000,45.4000,60.5000,8.4000,1.4000,13.0000,107.4000,MAN,95.0,0.4480,0.3990,0.2020,0.1685,30.8000,82.2000,54.6000,52.9000,5.3000,3.8000,13.5000,90.5000
%http://www.basketball-reference.com/boxscores/201810240GSW.html
Washington Wizards at Golden State Warriors, October 24, 2018,regularSeason,122-144,A,106.7,0.5790,0.5160,0.4520,0.2796,15.6000,73.0000,41.5000,52.4000,6.6000,1.7000,10.2000,114.3000,MAN,106.7,0.6990,0.6580,0.3590,0.2500,27.0000,84.4000,58.5000,69.8000,5.6000,9.8000,12.7000,134.9000
%http://www.basketball-reference.com/boxscores/201810240HOU.html
Utah Jazz at Houston Rockets, October 24, 2018,regularSeason,100-89,A,95.4,0.5540,0.5000,0.3720,0.2821,26.5000,79.2000,57.3000,61.8000,7.3000,10.6000,16.6000,104.9000,MAN,95.4,0.4780,0.4660,0.4600,0.0920,20.8000,73.5000,42.7000,45.7000,12.6000,10.2000,13.9000,93.3000
%http://www.basketball-reference.com/boxscores/201810240MIA.html
New York Knicks at Miami Heat, October 24, 2018,regularSeason,87-110,A,99.6,0.4480,0.4290,0.3630,0.0989,17.5000,89.7000,46.9000,60.6000,5.0000,5.7000,11.0000,87.4000,MAN,99.6,0.5830,0.5550,0.3540,0.2317,10.3000,82.5000,53.1000,61.5000,7.0000,8.6000,12.1000,110.4000
%http://www.basketball-reference.com/boxscores/201810240MIL.html
Philadelphia 76ers at Milwaukee Bucks, October 24, 2018,regularSeason,108-123,A,111.3,0.5130,0.4730,0.3700,0.2283,16.0000,82.4000,49.5000,76.3000,3.6000,8.8000,13.2000,97.0000,MAN,111.3,0.5430,0.4750,0.4300,0.2800,17.6000,84.0000,50.5000,58.5000,6.3000,17.2000,8.9000,110.5000
%http://www.basketball-reference.com/boxscores/201810240PHO.html
Los Angeles Lakers at Phoenix Suns, October 24, 2018,regularSeason,131-113,A,103.5,0.5950,0.5700,0.2800,0.1700,23.9000,78.0000,49.4000,65.4000,12.6000,9.4000,6.8000,126.6000,MAN,103.5,0.6060,0.5830,0.3690,0.1786,22.0000,76.1000,50.6000,61.4000,3.9000,5.6000,16.9000,109.2000
%http://www.basketball-reference.com/boxscores/201810240SAC.html
Memphis Grizzlies at Sacramento Kings, October 24, 2018,regularSeason,92-97,A,97.3,0.4610,0.4360,0.3940,0.1064,23.6000,70.6000,46.2000,50.0000,7.2000,9.2000,13.1000,94.5000,MAN,97.3,0.4970,0.4580,0.2170,0.2530,29.4000,76.4000,53.8000,54.3000,7.2000,8.8000,12.6000,99.7000
%http://www.basketball-reference.com/boxscores/201810240SAS.html
Indiana Pacers at San Antonio Spurs, October 24, 2018,regularSeason,116-96,A,92.9,0.6410,0.6260,0.3680,0.0805,13.9000,70.0000,46.5000,73.9000,9.7000,7.4000,9.9000,124.9000,MAN,92.9,0.4990,0.4370,0.2180,0.2299,30.0000,86.1000,53.5000,45.7000,3.2000,5.5000,11.9000,103.3000
%http://www.basketball-reference.com/boxscores/201810240TOR.html
Minnesota Timberwolves at Toronto Raptors, October 24, 2018,regularSeason,105-112,A,97.3,0.5100,0.4950,0.3130,0.1042,32.7000,71.8000,50.0000,62.5000,10.3000,8.8000,12.7000,107.9000,MAN,97.3,0.5940,0.5790,0.3600,0.1011,28.2000,67.3000,50.0000,56.5000,9.2000,12.1000,14.5000,115.1000
%http://www.basketball-reference.com/boxscores/201810250DET.html
Cleveland Cavaliers at Detroit Pistons, October 25, 2018,regularSeason,103-110,A,95.4,0.5390,0.5060,0.2700,0.1461,16.7000,63.9000,38.5000,43.9000,11.5000,2.0000,8.6000,108.0000,MAN,95.4,0.6060,0.5960,0.3590,0.2179,36.1000,83.3000,61.5000,51.2000,4.2000,7.7000,18.1000,115.3000
%http://www.basketball-reference.com/boxscores/201810250LAL.html
Denver Nuggets at Los Angeles Lakers, October 25, 2018,regularSeason,114-121,A,105.7,0.5650,0.5330,0.2500,0.1739,23.3000,79.1000,51.2000,47.8000,7.6000,7.9000,15.9000,107.8000,MAN,105.7,0.5920,0.5540,0.3150,0.2065,20.9000,76.7000,48.8000,58.7000,12.3000,4.3000,11.3000,114.4000
%http://www.basketball-reference.com/boxscores/201810250OKC.html
Boston Celtics at Oklahoma City Thunder, October 25, 2018,regularSeason,101-95,A,100.0,0.5020,0.4480,0.3720,0.2791,19.6000,68.6000,44.1000,57.6000,7.0000,1.5000,9.9000,101.0000,MAN,100.0,0.4520,0.4310,0.2980,0.1489,31.4000,80.4000,55.9000,51.4000,5.0000,11.1000,13.2000,95.0000
%http://www.basketball-reference.com/boxscores/201810250ORL.html
Portland Trail Blazers at Orlando Magic, October 25, 2018,regularSeason,128-114,A,95.7,0.6500,0.6150,0.3100,0.2414,29.3000,74.4000,52.4000,50.0000,6.3000,10.7000,9.2000,133.7000,MAN,95.7,0.6010,0.5700,0.3490,0.1860,25.6000,70.7000,47.6000,67.4000,5.2000,11.7000,12.9000,119.1000
%http://www.basketball-reference.com/boxscores/201810260CHO.html
Chicago Bulls at Charlotte Hornets, October 26, 2018,regularSeason,106-135,A,97.4,0.5600,0.5290,0.4240,0.1882,17.0000,70.3000,40.5000,56.8000,5.1000,11.5000,12.1000,108.9000,MAN,97.4,0.6750,0.6450,0.3440,0.1613,29.7000,83.0000,59.5000,56.6000,10.3000,20.4000,9.1000,138.7000
%http://www.basketball-reference.com/boxscores/201810260HOU.html
Los Angeles Clippers at Houston Rockets, October 26, 2018,regularSeason,133-113,A,102.7,0.6950,0.6200,0.2910,0.4430,16.1000,70.9000,51.2000,39.5000,7.8000,7.0000,13.5000,129.6000,MAN,102.7,0.5180,0.4640,0.4180,0.2245,29.1000,83.9000,48.8000,55.3000,10.7000,12.5000,10.7000,110.1000
%http://www.basketball-reference.com/boxscores/201810260MIN.html
